Incident ID,Plant,Date,Description,Incident Type,Cause
44,Plant D,2024-07-10,"On 2024-07-10, a worker in Plant D's production area tripped over an unmarked hazard.",falling object,Human error
45,Plant C,2024-07-04,A near-miss incident was reported on 2024-07-04 at Plant C.,chemical spill,Unknown
46,Plant B,2024-08-05,A near-miss incident was reported on 2024-08-05 at Plant B.,other,Human error
47,Plant C,2024-03-04,"On 2024-03-04, a worker in Plant C's production area tripped over an unmarked hazard.",ventilation,Environment
48,Plant C,2024-02-19,Employee reported dizziness and nausea in Plant C's packaging area on 2024-02-19.,falling object,Equipment
49,Plant C,2024-02-20,A fire alarm was triggered in Plant C's assembly line on 2024-02-20.,chemical spill,Equipment
50,Plant A,2024-09-16,"On 2024-09-16, a worker in Plant A's production area tripped over an unmarked hazard.",injury,Unknown
51,Plant A,2024-01-09,Employee reported dizziness and nausea in Plant A's packaging area on 2024-01-09.,near-miss,Human error
52,Plant A,2024-08-19,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-19.,ventilation,Human error
53,Plant B,2024-05-10,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-10.,near-miss,Unknown
54,Plant A,2024-08-26,A near-miss incident was reported on 2024-08-26 at Plant A.,chemical spill,Human error
55,Plant C,2024-04-09,"On 2024-04-09, a worker in Plant C's production area tripped over an unmarked hazard.",heat exhaustion,Unknown
56,Plant B,2024-05-29,Employee reported dizziness and nausea in Plant B's packaging area on 2024-05-29.,ventilation,Human error
57,Plant D,2024-09-07,A fire alarm was triggered in Plant D's assembly line on 2024-09-07.,fire,Environment
58,Plant D,2024-05-07,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-05-07.,electrical,Unknown
59,Plant C,2024-09-01,Employee reported dizziness and nausea in Plant C's packaging area on 2024-09-01.,slip,Unknown
60,Plant C,2024-08-02,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-08-02.,safety violation,Human error
61,Plant B,2024-03-15,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-03-15.,heat exhaustion,Environment
62,Plant D,2024-09-19,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-09-19.,ventilation,Human error
63,Plant A,2024-09-13,Employee reported dizziness and nausea in Plant A's packaging area on 2024-09-13.,ventilation,Equipment
64,Plant B,2024-02-05,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-02-05.,fire,Environment
65,Plant D,2024-05-09,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-05-09.,ventilation,Unknown
66,Plant A,2024-08-31,"On 2024-08-31, a worker in Plant A's production area tripped over an unmarked hazard.",other,Unknown
67,Plant D,2024-08-31,"On 2024-08-31, a worker in Plant D's production area tripped over an unmarked hazard.",heat exhaustion,Human error
68,Plant B,2024-06-04,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-06-04.,safety violation,Environment
69,Plant A,2024-02-11,A fire alarm was triggered in Plant A's assembly line on 2024-02-11.,fire,Equipment
70,Plant D,2024-03-30,A near-miss incident was reported on 2024-03-30 at Plant D.,other,Environment
71,Plant D,2024-03-08,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-03-08.,heat exhaustion,Environment
72,Plant D,2024-01-01,A fire alarm was triggered in Plant D's assembly line on 2024-01-01.,fire,Unknown
73,Plant D,2024-07-01,"On 2024-07-01, a worker in Plant D's production area tripped over an unmarked hazard.",safety violation,Unknown
74,Plant D,2024-06-27,"On 2024-06-27, a worker in Plant D's production area tripped over an unmarked hazard.",safety violation,Equipment
75,Plant C,2024-03-26,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-03-26.,falling object,Unknown
76,Plant D,2024-04-25,"On 2024-04-25, a worker in Plant D's production area tripped over an unmarked hazard.",safety violation,Unknown
77,Plant B,2024-03-02,Employee reported dizziness and nausea in Plant B's packaging area on 2024-03-02.,safety violation,Unknown
78,Plant D,2024-07-19,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-07-19.,fire,Human error
79,Plant A,2024-01-29,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-01-29.,slip,Equipment
80,Plant A,2024-01-13,A near-miss incident was reported on 2024-01-13 at Plant A.,injury,Human error
81,Plant B,2024-07-23,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-07-23.,falling object,Equipment
82,Plant B,2024-08-02,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-02.,chemical spill,Environment
83,Plant A,2024-02-14,A near-miss incident was reported on 2024-02-14 at Plant A.,injury,Environment
84,Plant D,2024-04-01,A fire alarm was triggered in Plant D's assembly line on 2024-04-01.,other,Environment
85,Plant B,2024-08-11,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-08-11.,electrical,Unknown
86,Plant B,2024-05-22,"On 2024-05-22, a worker in Plant B's production area tripped over an unmarked hazard.",safety violation,Environment
87,Plant B,2024-08-31,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-31.,near-miss,Unknown
88,Plant D,2024-01-01,"On 2024-01-01, a worker in Plant D's production area tripped over an unmarked hazard.",falling object,Human error
89,Plant D,2024-04-06,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-06.,injury,Environment
90,Plant C,2024-08-31,A near-miss incident was reported on 2024-08-31 at Plant C.,electrical,Human error
91,Plant A,2024-06-17,Employee reported dizziness and nausea in Plant A's packaging area on 2024-06-17.,heat exhaustion,Equipment
92,Plant D,2024-02-04,"On 2024-02-04, a worker in Plant D's production area tripped over an unmarked hazard.",near-miss,Environment
93,Plant D,2024-08-11,Employee reported dizziness and nausea in Plant D's packaging area on 2024-08-11.,heat exhaustion,Unknown
94,Plant D,2024-01-21,"On 2024-01-21, a worker in Plant D's production area tripped over an unmarked hazard.",heat exhaustion,Human error
95,Plant B,2024-01-01,A fire alarm was triggered in Plant B's assembly line on 2024-01-01.,falling object,Unknown
96,Plant D,2024-08-03,A near-miss incident was reported on 2024-08-03 at Plant D.,injury,Equipment
97,Plant C,2024-03-30,A near-miss incident was reported on 2024-03-30 at Plant C.,safety violation,Unknown
98,Plant C,2024-07-19,"On 2024-07-19, a worker in Plant C's production area tripped over an unmarked hazard.",electrical,Human error
99,Plant B,2024-09-13,A fire alarm was triggered in Plant B's assembly line on 2024-09-13.,chemical spill,Unknown
100,Plant A,2024-06-08,A near-miss incident was reported on 2024-06-08 at Plant A.,ventilation,Environment
101,Plant D,2024-04-29,"On 2024-04-29, a worker in Plant D's production area tripped over an unmarked hazard.",safety violation,Human error
102,Plant D,2024-02-16,"On 2024-02-16, a worker in Plant D's production area tripped over an unmarked hazard.",slip,Equipment
103,Plant A,2024-06-09,A near-miss incident was reported on 2024-06-09 at Plant A.,fire,Environment
104,Plant A,2024-03-22,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-03-22.,heat exhaustion,Unknown
105,Plant D,2024-08-26,A near-miss incident was reported on 2024-08-26 at Plant D.,near-miss,Unknown
106,Plant A,2024-04-27,"On 2024-04-27, a worker in Plant A's production area tripped over an unmarked hazard.",ventilation,Environment
107,Plant D,2024-07-10,A near-miss incident was reported on 2024-07-10 at Plant D.,near-miss,Unknown
108,Plant C,2024-08-11,A near-miss incident was reported on 2024-08-11 at Plant C.,electrical,Equipment
109,Plant C,2024-01-15,A near-miss incident was reported on 2024-01-15 at Plant C.,heat exhaustion,Equipment
110,Plant D,2024-06-08,"On 2024-06-08, a worker in Plant D's production area tripped over an unmarked hazard.",ventilation,Equipment
111,Plant B,2024-03-04,Employee reported dizziness and nausea in Plant B's packaging area on 2024-03-04.,other,Unknown
112,Plant D,2024-09-15,A fire alarm was triggered in Plant D's assembly line on 2024-09-15.,ventilation,Human error
113,Plant D,2024-01-07,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-07.,ventilation,Human error
114,Plant B,2024-07-19,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-07-19.,electrical,Environment
115,Plant D,2024-05-23,A fire alarm was triggered in Plant D's assembly line on 2024-05-23.,ventilation,Human error
116,Plant B,2024-01-15,A near-miss incident was reported on 2024-01-15 at Plant B.,electrical,Human error
117,Plant D,2024-06-12,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-06-12.,slip,Equipment
118,Plant A,2024-03-08,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-03-08.,injury,Unknown
119,Plant A,2024-06-08,Employee reported dizziness and nausea in Plant A's packaging area on 2024-06-08.,safety violation,Human error
120,Plant D,2024-07-02,A near-miss incident was reported on 2024-07-02 at Plant D.,near-miss,Equipment
121,Plant B,2024-06-02,A fire alarm was triggered in Plant B's assembly line on 2024-06-02.,near-miss,Unknown
122,Plant A,2024-04-05,"On 2024-04-05, a worker in Plant A's production area tripped over an unmarked hazard.",slip,Unknown
123,Plant B,2024-06-01,Employee reported dizziness and nausea in Plant B's packaging area on 2024-06-01.,injury,Equipment
124,Plant A,2024-03-19,A fire alarm was triggered in Plant A's assembly line on 2024-03-19.,falling object,Environment
125,Plant C,2024-09-04,Employee reported dizziness and nausea in Plant C's packaging area on 2024-09-04.,slip,Equipment
126,Plant B,2024-09-17,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-09-17.,near-miss,Environment
127,Plant D,2024-07-31,Employee reported dizziness and nausea in Plant D's packaging area on 2024-07-31.,chemical spill,Unknown
128,Plant A,2024-02-26,A fire alarm was triggered in Plant A's assembly line on 2024-02-26.,other,Unknown
129,Plant A,2024-08-11,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-11.,near-miss,Environment
130,Plant B,2024-08-07,A near-miss incident was reported on 2024-08-07 at Plant B.,injury,Environment
131,Plant A,2024-07-09,Employee reported dizziness and nausea in Plant A's packaging area on 2024-07-09.,fire,Equipment
132,Plant A,2024-09-11,"On 2024-09-11, a worker in Plant A's production area tripped over an unmarked hazard.",safety violation,Human error
133,Plant B,2024-08-01,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-01.,fire,Unknown
134,Plant D,2024-04-15,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-15.,electrical,Environment
135,Plant C,2024-09-13,A fire alarm was triggered in Plant C's assembly line on 2024-09-13.,falling object,Unknown
136,Plant B,2024-04-18,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-04-18.,slip,Human error
137,Plant C,2024-06-18,A near-miss incident was reported on 2024-06-18 at Plant C.,electrical,Environment
138,Plant A,2024-08-27,"On 2024-08-27, a worker in Plant A's production area tripped over an unmarked hazard.",other,Unknown
139,Plant C,2024-03-13,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-03-13.,slip,Equipment
140,Plant B,2024-07-22,Employee reported dizziness and nausea in Plant B's packaging area on 2024-07-22.,falling object,Human error
141,Plant D,2024-01-19,A fire alarm was triggered in Plant D's assembly line on 2024-01-19.,falling object,Equipment
142,Plant C,2024-05-05,A near-miss incident was reported on 2024-05-05 at Plant C.,slip,Environment
143,Plant D,2024-06-20,"On 2024-06-20, a worker in Plant D's production area tripped over an unmarked hazard.",slip,Environment
144,Plant B,2024-03-09,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-03-09.,ventilation,Equipment
145,Plant D,2024-03-16,"On 2024-03-16, a worker in Plant D's production area tripped over an unmarked hazard.",ventilation,Equipment
146,Plant A,2024-01-01,A fire alarm was triggered in Plant A's assembly line on 2024-01-01.,ventilation,Human error
147,Plant C,2024-03-29,A fire alarm was triggered in Plant C's assembly line on 2024-03-29.,safety violation,Unknown
148,Plant A,2024-07-26,"On 2024-07-26, a worker in Plant A's production area tripped over an unmarked hazard.",slip,Equipment
149,Plant B,2024-06-28,A near-miss incident was reported on 2024-06-28 at Plant B.,other,Unknown
150,Plant C,2024-01-08,A near-miss incident was reported on 2024-01-08 at Plant C.,chemical spill,Unknown
151,Plant D,2024-06-08,Employee reported dizziness and nausea in Plant D's packaging area on 2024-06-08.,heat exhaustion,Human error
152,Plant D,2024-02-06,A fire alarm was triggered in Plant D's assembly line on 2024-02-06.,falling object,Equipment
153,Plant A,2024-05-04,A near-miss incident was reported on 2024-05-04 at Plant A.,other,Unknown
154,Plant A,2024-07-08,Employee reported dizziness and nausea in Plant A's packaging area on 2024-07-08.,chemical spill,Environment
155,Plant B,2024-07-29,A fire alarm was triggered in Plant B's assembly line on 2024-07-29.,other,Human error
156,Plant A,2024-05-19,"On 2024-05-19, a worker in Plant A's production area tripped over an unmarked hazard.",falling object,Human error
157,Plant B,2024-08-04,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-04.,heat exhaustion,Unknown
158,Plant B,2024-01-10,A near-miss incident was reported on 2024-01-10 at Plant B.,other,Equipment
159,Plant A,2024-03-28,A fire alarm was triggered in Plant A's assembly line on 2024-03-28.,near-miss,Equipment
160,Plant C,2024-01-04,A near-miss incident was reported on 2024-01-04 at Plant C.,other,Equipment
161,Plant B,2024-04-28,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-04-28.,near-miss,Human error
162,Plant D,2024-03-26,A near-miss incident was reported on 2024-03-26 at Plant D.,chemical spill,Environment
163,Plant C,2024-06-11,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-06-11.,slip,Environment
164,Plant A,2024-03-01,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-03-01.,chemical spill,Human error
165,Plant A,2024-05-12,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-05-12.,injury,Unknown
166,Plant C,2024-09-15,"On 2024-09-15, a worker in Plant C's production area tripped over an unmarked hazard.",other,Equipment
167,Plant D,2024-01-13,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-13.,chemical spill,Equipment
168,Plant B,2024-03-08,"On 2024-03-08, a worker in Plant B's production area tripped over an unmarked hazard.",heat exhaustion,Environment
169,Plant C,2024-03-26,A fire alarm was triggered in Plant C's assembly line on 2024-03-26.,falling object,Human error
170,Plant C,2024-04-16,A fire alarm was triggered in Plant C's assembly line on 2024-04-16.,chemical spill,Environment
171,Plant C,2024-07-22,"On 2024-07-22, a worker in Plant C's production area tripped over an unmarked hazard.",fire,Environment
172,Plant B,2024-08-16,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-16.,chemical spill,Human error
173,Plant D,2024-04-06,A fire alarm was triggered in Plant D's assembly line on 2024-04-06.,ventilation,Human error
174,Plant A,2024-01-21,"On 2024-01-21, a worker in Plant A's production area tripped over an unmarked hazard.",other,Equipment
175,Plant D,2024-05-07,A fire alarm was triggered in Plant D's assembly line on 2024-05-07.,falling object,Human error
176,Plant A,2024-04-28,"On 2024-04-28, a worker in Plant A's production area tripped over an unmarked hazard.",near-miss,Human error
177,Plant A,2024-03-07,A fire alarm was triggered in Plant A's assembly line on 2024-03-07.,slip,Unknown
178,Plant B,2024-07-10,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-07-10.,electrical,Environment
179,Plant A,2024-04-28,A near-miss incident was reported on 2024-04-28 at Plant A.,chemical spill,Human error
180,Plant C,2024-07-17,A fire alarm was triggered in Plant C's assembly line on 2024-07-17.,injury,Equipment
181,Plant D,2024-01-28,A near-miss incident was reported on 2024-01-28 at Plant D.,falling object,Human error
182,Plant A,2024-04-29,A fire alarm was triggered in Plant A's assembly line on 2024-04-29.,heat exhaustion,Unknown
183,Plant C,2024-08-22,A near-miss incident was reported on 2024-08-22 at Plant C.,near-miss,Equipment
184,Plant A,2024-01-17,Employee reported dizziness and nausea in Plant A's packaging area on 2024-01-17.,slip,Human error
185,Plant A,2024-04-27,Employee reported dizziness and nausea in Plant A's packaging area on 2024-04-27.,chemical spill,Environment
186,Plant C,2024-07-26,A near-miss incident was reported on 2024-07-26 at Plant C.,injury,Human error
187,Plant C,2024-06-27,Employee reported dizziness and nausea in Plant C's packaging area on 2024-06-27.,fire,Equipment
188,Plant C,2024-02-12,A fire alarm was triggered in Plant C's assembly line on 2024-02-12.,electrical,Unknown
189,Plant A,2024-07-19,A fire alarm was triggered in Plant A's assembly line on 2024-07-19.,fire,Unknown
190,Plant D,2024-04-11,A near-miss incident was reported on 2024-04-11 at Plant D.,ventilation,Unknown
191,Plant B,2024-03-05,A near-miss incident was reported on 2024-03-05 at Plant B.,ventilation,Environment
192,Plant D,2024-04-09,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-09.,chemical spill,Human error
193,Plant D,2024-02-16,A fire alarm was triggered in Plant D's assembly line on 2024-02-16.,ventilation,Human error
194,Plant A,2024-05-03,"On 2024-05-03, a worker in Plant A's production area tripped over an unmarked hazard.",fire,Equipment
195,Plant A,2024-03-18,A fire alarm was triggered in Plant A's assembly line on 2024-03-18.,injury,Equipment
196,Plant C,2024-04-23,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-04-23.,injury,Equipment
197,Plant B,2024-08-08,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-08-08.,slip,Equipment
198,Plant C,2024-09-02,A near-miss incident was reported on 2024-09-02 at Plant C.,chemical spill,Unknown
199,Plant A,2024-03-11,Employee reported dizziness and nausea in Plant A's packaging area on 2024-03-11.,ventilation,Equipment
200,Plant B,2024-03-26,"On 2024-03-26, a worker in Plant B's production area tripped over an unmarked hazard.",safety violation,Human error
201,Plant C,2024-03-25,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-03-25.,fire,Equipment
202,Plant D,2024-08-02,A fire alarm was triggered in Plant D's assembly line on 2024-08-02.,fire,Environment
203,Plant D,2024-04-28,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-28.,fire,Human error
204,Plant B,2024-06-11,A near-miss incident was reported on 2024-06-11 at Plant B.,injury,Human error
205,Plant D,2024-04-21,A near-miss incident was reported on 2024-04-21 at Plant D.,electrical,Environment
206,Plant C,2024-06-09,"On 2024-06-09, a worker in Plant C's production area tripped over an unmarked hazard.",safety violation,Unknown
207,Plant D,2024-03-31,A fire alarm was triggered in Plant D's assembly line on 2024-03-31.,chemical spill,Human error
208,Plant D,2024-06-30,"On 2024-06-30, a worker in Plant D's production area tripped over an unmarked hazard.",slip,Equipment
209,Plant A,2024-05-27,A fire alarm was triggered in Plant A's assembly line on 2024-05-27.,chemical spill,Equipment
210,Plant B,2024-05-23,Employee reported dizziness and nausea in Plant B's packaging area on 2024-05-23.,falling object,Environment
211,Plant B,2024-02-08,"On 2024-02-08, a worker in Plant B's production area tripped over an unmarked hazard.",falling object,Human error
212,Plant A,2024-03-21,A near-miss incident was reported on 2024-03-21 at Plant A.,slip,Unknown
213,Plant C,2024-05-24,A fire alarm was triggered in Plant C's assembly line on 2024-05-24.,near-miss,Environment
214,Plant C,2024-06-03,A near-miss incident was reported on 2024-06-03 at Plant C.,heat exhaustion,Unknown
215,Plant B,2024-01-11,A near-miss incident was reported on 2024-01-11 at Plant B.,heat exhaustion,Environment
216,Plant D,2024-06-23,A fire alarm was triggered in Plant D's assembly line on 2024-06-23.,near-miss,Unknown
217,Plant A,2024-09-02,"On 2024-09-02, a worker in Plant A's production area tripped over an unmarked hazard.",safety violation,Equipment
218,Plant B,2024-06-17,"On 2024-06-17, a worker in Plant B's production area tripped over an unmarked hazard.",ventilation,Environment
219,Plant B,2024-05-12,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-12.,heat exhaustion,Unknown
220,Plant A,2024-03-27,A fire alarm was triggered in Plant A's assembly line on 2024-03-27.,safety violation,Environment
221,Plant A,2024-01-19,Employee reported dizziness and nausea in Plant A's packaging area on 2024-01-19.,slip,Human error
222,Plant B,2024-05-31,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-31.,injury,Environment
223,Plant D,2024-04-08,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-08.,fire,Human error
224,Plant B,2024-04-28,A fire alarm was triggered in Plant B's assembly line on 2024-04-28.,chemical spill,Unknown
225,Plant C,2024-04-30,"On 2024-04-30, a worker in Plant C's production area tripped over an unmarked hazard.",slip,Human error
226,Plant B,2024-08-21,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-08-21.,slip,Environment
227,Plant C,2024-01-30,Employee reported dizziness and nausea in Plant C's packaging area on 2024-01-30.,heat exhaustion,Equipment
228,Plant D,2024-08-08,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-08-08.,heat exhaustion,Environment
229,Plant C,2024-02-07,Employee reported dizziness and nausea in Plant C's packaging area on 2024-02-07.,ventilation,Unknown
230,Plant C,2024-02-23,A fire alarm was triggered in Plant C's assembly line on 2024-02-23.,fire,Equipment
231,Plant D,2024-09-03,A fire alarm was triggered in Plant D's assembly line on 2024-09-03.,electrical,Environment
232,Plant B,2024-02-03,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-02-03.,ventilation,Environment
233,Plant A,2024-03-01,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-03-01.,near-miss,Equipment
234,Plant D,2024-01-16,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-16.,near-miss,Unknown
235,Plant C,2024-04-23,A fire alarm was triggered in Plant C's assembly line on 2024-04-23.,heat exhaustion,Human error
236,Plant A,2024-03-24,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-03-24.,slip,Unknown
237,Plant D,2024-09-12,Employee reported dizziness and nausea in Plant D's packaging area on 2024-09-12.,chemical spill,Human error
238,Plant C,2024-08-18,Employee reported dizziness and nausea in Plant C's packaging area on 2024-08-18.,electrical,Equipment
239,Plant D,2024-03-14,"On 2024-03-14, a worker in Plant D's production area tripped over an unmarked hazard.",other,Human error
240,Plant A,2024-05-11,A near-miss incident was reported on 2024-05-11 at Plant A.,other,Unknown
241,Plant A,2024-02-18,A fire alarm was triggered in Plant A's assembly line on 2024-02-18.,safety violation,Environment
242,Plant A,2024-01-04,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-01-04.,electrical,Equipment
243,Plant C,2024-03-26,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-03-26.,slip,Human error
244,Plant D,2024-01-01,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-01.,heat exhaustion,Unknown
245,Plant A,2024-02-06,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-02-06.,electrical,Equipment
246,Plant B,2024-01-30,Employee reported dizziness and nausea in Plant B's packaging area on 2024-01-30.,near-miss,Equipment
247,Plant B,2024-08-16,A fire alarm was triggered in Plant B's assembly line on 2024-08-16.,safety violation,Equipment
248,Plant B,2024-01-17,"On 2024-01-17, a worker in Plant B's production area tripped over an unmarked hazard.",slip,Environment
249,Plant A,2024-07-30,A fire alarm was triggered in Plant A's assembly line on 2024-07-30.,slip,Unknown
250,Plant B,2024-05-03,"On 2024-05-03, a worker in Plant B's production area tripped over an unmarked hazard.",injury,Unknown
251,Plant C,2024-07-30,Employee reported dizziness and nausea in Plant C's packaging area on 2024-07-30.,slip,Equipment
252,Plant C,2024-05-21,"On 2024-05-21, a worker in Plant C's production area tripped over an unmarked hazard.",electrical,Equipment
253,Plant D,2024-03-12,"On 2024-03-12, a worker in Plant D's production area tripped over an unmarked hazard.",chemical spill,Unknown
254,Plant B,2024-09-07,A near-miss incident was reported on 2024-09-07 at Plant B.,ventilation,Equipment
